n,mean_psnr,best_psnr,worst_psnr,mean_mse,anchor_psnr,anchor_mse,best_cosine,target_gradient_norm,unlearned_acc
1,9.166827979211982,9.166827979211982,9.166827979211982,0.12114826589822769,9.166827979211982,0.12114826589822769,0.26672542095184326,7.960854586031019e-05,0.9915
2,9.532739490449675,10.70248676464291,8.362992216256442,0.11542301625013351,8.362992216256442,0.14578095078468323,0.7124269008636475,0.00045834529692001524,0.9915
3,10.300352598884169,10.784113941137928,9.663603008952414,0.09387422849734624,10.453340846562163,0.09008778631687164,0.7203384637832642,0.00552775584947085,0.9911
4,10.93160215881119,11.817114368872181,10.535406030512558,0.08123873919248581,10.535406030512558,0.08840145170688629,0.8172510862350464,0.028981363284401596,0.9913
