n,mean_psnr,best_psnr,worst_psnr,mean_mse,anchor_psnr,anchor_mse,best_cosine,target_gradient_norm,unlearned_acc
1,20.698330008009293,20.698330008009293,20.698330008009293,0.008514653891324997,20.698330008009293,0.008514653891324997,0.9677281379699707,0.00015678435124755197,0.9990543735224586
2,16.051846660627607,19.255076930305773,12.848616390949442,0.031883835792541504,19.255076930305773,0.011871136724948883,0.9144310355186462,0.00016277754309612646,0.9990543735224586
3,15.12171675567682,21.745657689141822,10.957324742346298,0.04702679036806027,21.745657689141822,0.006690124981105328,0.8743387460708618,0.00017381858492626634,0.9990543735224586
4,12.271990105384598,16.017762702678006,8.43562110196516,0.07179576996713877,16.017762702678006,0.025016337633132935,0.8060331344604492,0.00018192240702319395,0.9990543735224586
